RECLTD | ROE Difference = 8.54%
RECLTD | ROE Difference = 5.58%
RECLTD | ROE Difference = 8.15%
SBILIFE | ROE Difference = 11.03%
SBILIFE | ROE Difference = 9.69%
SBILIFE | ROE Difference = 8.09%
SBILIFE | ROE Difference = 5.83%
SBILIFE | ROE Difference = 5.20%
SBILIFE | ROE Difference = 5.62%
SBILIFE | ROE Difference = 5.52%
SHREECEM | ROE Difference = 13.92%
SHREECEM | ROE Difference = 5.19%
SHRIRAMFIN | ROE Difference = 5.47%
SIEMENS | ROE Difference = 5.32%
SIEMENS | ROE Difference = 23.73%
SIEMENS | ROE Difference = 8.24%
SIEMENS | ROE Difference = 6.96%
SIEMENS | ROE Difference = 11.00%
SIEMENS | ROE Difference = 8.58%
SIEMENS | ROE Difference = 5.81%
SUNPHARMA | ROE Difference = 6.44%
SUNPHARMA | ROE Difference = 10.07%
SUNPHARMA | ROE Difference = 8.95%
SUNPHARMA | ROE Difference = 7.48%
SUNPHARMA | ROE Difference = 11.81%
SUNPHARMA | ROE Difference = 9.64%
TATACONSUM | ROE Difference = 8.91%
TATAMOTORS | ROE Difference = 22.89%
TATAMOTORS | ROE Difference = 27.98%
TATAMOTORS | ROE Difference = 24.39%
TATAMOTORS | ROE Difference = 34.61%
TATAMOTORS | ROE Difference = 36.38%
TATAMOTORS | ROE Difference = 39.87%
TATAMOTORS | ROE Difference = 97.13%
TATAMOTORS | ROE Difference = 68.38%
TATAMOTORS | ROE Difference = 73.65%
TATAMOTORS | ROE Difference = 74.78%
TATAMOTORS | ROE Difference = 43.46%
TATAMOTORS | ROE Difference = 11.94%
TATAPOWER | ROE Difference = 10.30%
TATAPOWER | ROE Difference = 11.20%
TATAPOWER | ROE Difference = 8.11%
TATASTEEL | ROE Difference = 27.83%
TATASTEEL | ROE Difference = 19.11%
TATASTEEL | ROE Difference = 7.69%
TATASTEEL | ROE Difference = 17.57%
TATASTEEL | ROE Difference = 22.60%
TATASTEEL | ROE Difference = 6.68%
TATASTEEL | ROE Difference = 29.93%
TATASTEEL | ROE Difference = 11.88%
TCS | ROE Difference = 36.00%
TCS | ROE Difference = 38.78%
TCS | ROE Difference = 39.10%
TCS | ROE Difference = 33.72%
TCS | ROE Difference = 30.05%
TCS | ROE Difference = 29.88%
TCS | ROE Difference = 34.77%
TCS | ROE Difference = 38.05%
TCS | ROE Difference = 37.15%
TCS | ROE Difference = 42.61%
TCS | ROE Difference = 46.26%
TCS | ROE Difference = 50.42%
TECHM | ROE Difference = 15.46%
TECHM | ROE Difference = 15.46%
TECHM | ROE Difference = 24.72%
TECHM | ROE Difference = 24.72%
TECHM | ROE Difference = 13.08%
TECHM | ROE Difference = 13.08%
TECHM | ROE Difference = 12.12%
TECHM | ROE Difference = 12.12%
TECHM | ROE Difference = 8.72%
TECHM | ROE Difference = 8.72%
TECHM | ROE Difference = 11.46%
TECHM | ROE Difference = 11.46%
TECHM | ROE Difference = 12.51%
TECHM | ROE Difference = 12.51%
TECHM | ROE Difference = 9.24%
TECHM | ROE Difference = 9.24%
TECHM | ROE Difference = 8.88%
TECHM | ROE Difference = 8.88%
TECHM | ROE Difference = 12.31%
TECHM | ROE Difference = 12.31%
TECHM | ROE Difference = 8.76%
TECHM | ROE Difference = 8.76%
TITAN | ROE Difference = 6.44%
TITAN | ROE Difference = 13.65%
TITAN | ROE Difference = 16.43%
TITAN | ROE Difference = 11.25%
TITAN | ROE Difference = 10.02%
TITAN | ROE Difference = 10.51%
TITAN | ROE Difference = 19.91%
TITAN | ROE Difference = 9.27%
TITAN | ROE Difference = 5.27%
TORNTPHARM | ROE Difference = 6.39%
TORNTPHARM | ROE Difference = 10.69%
TORNTPHARM | ROE Difference = 5.95%
TORNTPHARM | ROE Difference = 25.40%
TORNTPHARM | ROE Difference = 9.53%
TORNTPHARM | ROE Difference = 14.97%
TORNTPHARM | ROE Difference = 11.15%
TRENT | ROE Difference = 29.39%
TRENT | ROE Difference = 29.12%
TRENT | ROE Difference = 18.13%
TRENT | ROE Difference = 23.44%
TRENT | ROE Difference = 21.71%
TRENT | ROE Difference = 21.75%
TRENT | ROE Difference = 21.43%
TRENT | ROE Difference = 22.76%
TRENT | ROE Difference = 35.03%
TRENT | ROE Difference = 25.72%
TRENT | ROE Difference = 12.02%
TRENT | ROE Difference = 9.11%
INDIGO | ROCE anomaly
